WIND,SOLAR,HYDRO
0.966375,0,0.966375
0.958625,0,0.958625
0.947375,0,0.947375
0.940125,0,0.940125
0.93175,0,0.93175
0.929,0,0.929
0.9335,0,0.9335
0.934375,0,0.934375
0.929875,0.004636364,0.929875
0.899875,0.150454545,0.899875
0.8155,0.349545455,0.8155
0.731125,0.429818182,0.731125
0.70075,0.467818182,0.70075
0.668875,0.476272727,0.668875
0.64625,0.438818182,0.64625
0.6365,0.352727273,0.6365
0.63075,0.198272727,0.63075
0.613,0.022909091,0.613
0.61525,0,0.61525
0.614125,0,0.614125
0.60525,0,0.60525
0.577,0,0.577
0.526375,0,0.526375
0.47025,0,0.47025
0.432125,0,0.432125
0.3915,0,0.3915
0.3445,0,0.3445
0.309125,0,0.309125
0.30525,0,0.30525
0.298875,0,0.298875
0.282875,0,0.282875
0.266,0,0.266
0.25825,0.005727273,0.25825
0.248375,0.162,0.248375
0.233,0.357909091,0.233
0.216875,0.416545455,0.216875
0.198125,0.428727273,0.198125
0.2055,0.424090909,0.2055
0.227625,0.374181818,0.227625
0.23025,0.279727273,0.23025
0.200875,0.153545455,0.200875
0.198,0.016181818,0.198
0.25825,0,0.25825
0.284625,0,0.284625
0.279875,0,0.279875
0.267375,0,0.267375
0.258625,0,0.258625
0.254125,0,0.254125
0.243875,0,0.243875
0.225625,0,0.225625
0.213125,0,0.213125
0.192875,0,0.192875
0.19125,0,0.19125
0.21325,0,0.21325
0.2435,0,0.2435
0.26925,0,0.26925
0.29625,0.000636364,0.29625
0.3075,0.128272727,0.3075
0.224,0.329181818,0.224
0.163625,0.404454545,0.163625
0.144125,0.441545455,0.144125
0.144625,0.437454545,0.144625
0.159875,0.377181818,0.159875
0.195125,0.293090909,0.195125
0.240125,0.163272727,0.240125
0.320375,0.020181818,0.320375
0.4245,0,0.4245
0.468125,0,0.468125
0.44975,0,0.44975
0.410375,0,0.410375
0.38,0,0.38
0.344125,0,0.344125
0.325625,0,0.325625
0.31075,0,0.31075
0.3005,0,0.3005
0.294125,0,0.294125
0.286875,0,0.286875
0.28,0,0.28
0.282875,0,0.282875
0.2805,0,0.2805
0.275625,0.005454545,0.275625
0.255875,0.165,0.255875
0.22075,0.373090909,0.22075
0.19175,0.453,0.19175
0.17525,0.477545455,0.17525
0.167375,0.478272727,0.167375
0.1525,0.439454545,0.1525
0.14475,0.352909091,0.14475
0.132125,0.200454545,0.132125
0.149375,0.025272727,0.149375
0.227,0,0.227
0.27,0,0.27
0.295125,0,0.295125
0.31675,0,0.31675
0.303125,0,0.303125
0.31575,0,0.31575
0.342125,0,0.342125
0.336125,0,0.336125
0.335,0,0.335
0.336375,0,0.336375
0.335375,0,0.335375
0.32625,0,0.32625
0.326125,0,0.326125
0.314125,0,0.314125
0.331875,0.005909091,0.331875
0.301875,0.129454545,0.301875
0.21325,0.289090909,0.21325
0.205375,0.329727273,0.205375
0.21375,0.335909091,0.21375
0.20925,0.327727273,0.20925
0.2095,0.297181818,0.2095
0.212375,0.241818182,0.212375
0.200875,0.131272727,0.200875
0.23075,0.016818182,0.23075
0.297375,0,0.297375
0.337625,0,0.337625
0.3845,0,0.3845
0.395625,0,0.395625
0.42175,0,0.42175
0.45075,0,0.45075
0.468875,0,0.468875
0.508875,0,0.508875
0.55375,0,0.55375
0.615125,0,0.615125
0.687375,0,0.687375
0.741625,0,0.741625
0.766875,0,0.766875
0.8025,0,0.8025
0.83725,0.007363636,0.83725
0.871375,0.152272727,0.871375
0.871,0.328636364,0.871
0.89225,0.376272727,0.89225
0.90625,0.387272727,0.90625
0.901125,0.370090909,0.901125
0.892125,0.327454545,0.892125
0.88225,0.234545455,0.88225
0.885375,0.136090909,0.885375
0.895,0.019363636,0.895
0.896125,0,0.896125
0.872125,0,0.872125
0.826,0,0.826
0.7385,0,0.7385
0.67575,0,0.67575
0.605625,0,0.605625
0.520375,0,0.520375
0.429125,0,0.429125
0.372,0,0.372
0.316875,0,0.316875
0.25975,0,0.25975
0.26125,0,0.26125
0.239375,0,0.239375
0.19675,0,0.19675
0.169625,0.004454545,0.169625
0.166,0.133,0.166
0.115875,0.297727273,0.115875
0.06275,0.344818182,0.06275
0.04425,0.376272727,0.04425
0.03725,0.369272727,0.03725
0.04225,0.312181818,0.04225
0.05525,0.215636364,0.05525
0.0555,0.119454545,0.0555
0.07875,0.015727273,0.07875
0.18275,0,0.18275
0.266875,0,0.266875
0.318625,0,0.318625
0.40475,0,0.40475
0.477375,0,0.477375
0.517125,0,0.517125
0.500875,0,0.500875
0.464,0,0.464
0.46175,0,0.46175
0.455,0,0.455
0.432125,0,0.432125
0.394,0,0.394
0.38825,0,0.38825
0.3525,0,0.3525
0.345875,0.000636364,0.345875
0.34575,0.101909091,0.34575
0.2595,0.249909091,0.2595
0.2645,0.302727273,0.2645
0.30175,0.286636364,0.30175
0.30975,0.271909091,0.30975
0.326875,0.256727273,0.326875
0.350875,0.204181818,0.350875
0.39975,0.128727273,0.39975
0.487125,0.015727273,0.487125
0.540625,0,0.540625
0.601625,0,0.601625
0.610875,0,0.610875
0.540375,0,0.540375
0.454625,0,0.454625
0.38575,0,0.38575
0.3785,0,0.3785
0.3735,0,0.3735
0.392625,0,0.392625
0.386,0,0.386
0.364125,0,0.364125
0.376,0,0.376
0.42625,0,0.42625
0.404375,0,0.404375
0.399625,0.008272727,0.399625
0.3985,0.117545455,0.3985
0.299375,0.256454545,0.299375
0.235625,0.250636364,0.235625
0.17625,0.244454545,0.17625
0.183375,0.213636364,0.183375
0.194625,0.142727273,0.194625
0.273875,0.123545455,0.273875
0.36125,0.072363636,0.36125
0.5135,0.008181818,0.5135
0.622,0,0.622
0.67175,0,0.67175
0.736875,0,0.736875
0.75625,0,0.75625
0.767625,0,0.767625
0.755375,0,0.755375
0.765375,0,0.765375
0.796375,0,0.796375
0.79425,0,0.79425
0.7985,0,0.7985
0.8055,0,0.8055
0.83525,0,0.83525
0.8485,0,0.8485
0.814125,0,0.814125
0.8485,0,0.8485
0.857875,0.041454545,0.857875
0.76625,0.137090909,0.76625
0.74375,0.133818182,0.74375
0.75725,0.131090909,0.75725
0.848,0.138818182,0.848
0.911375,0.179818182,0.911375
0.92875,0.202545455,0.92875
0.9625,0.140727273,0.9625
0.973625,0.019181818,0.973625
0.984125,0,0.984125
0.988625,0,0.988625
0.989625,0,0.989625
0.99375,0,0.99375
0.992375,0,0.992375
0.990125,0,0.990125
0.988875,0,0.988875
0.98875,0,0.98875
0.989125,0,0.989125
0.9895,0,0.9895
